1,3857,casual
1,8002,member
2,3248,casual
2,15592,member
3,5190,casual
3,29098,member
4,8186,casual
4,38720,member
5,10899,casual
5,43148,member
6,13241,casual
6,44369,member
7,15286,casual
7,43029,member
8,16025,casual
8,40142,member
9,16613,casual
9,37237,member
10,16721,casual
10,34392,member
11,16685,casual
11,32215,member
12,16188,casual
12,29438,member
13,15604,casual
13,26527,member
14,15035,casual
14,24400,member
15,14167,casual
15,22352,member
16,13684,casual
16,20230,member
17,13006,casual
17,18573,member
18,12214,casual
18,17232,member
19,11496,casual
19,15940,member
20,11118,casual
20,14750,member
21,10439,casual
21,13507,member
22,10073,casual
22,12700,member
23,9648,casual
23,11732,member
24,9160,casual
24,10789,member
25,8869,casual
25,10035,member
26,8793,casual
26,9595,member
27,8485,casual
27,8873,member
28,8267,casual
28,8112,member
29,7800,casual
29,7471,member
30,7185,casual
30,7030,member
31,6269,casual
31,6426,member
32,5772,casual
32,6075,member
33,5225,casual
33,5595,member
34,4894,casual
34,5217,member
35,4603,casual
35,4954,member
36,4298,casual
36,4569,member
37,4014,casual
37,4306,member
38,3834,casual
38,4047,member
39,3811,casual
39,3695,member
40,3495,casual
40,3296,member
41,3389,casual
41,3076,member
42,3309,casual
42,2757,member
43,3197,casual
43,2647,member
44,3001,casual
44,2138,member
45,2917,casual
45,1739,member
46,2713,casual
46,1310,member
47,2709,casual
47,1053,member
48,2657,casual
48,909,member
49,2586,casual
49,788,member
50,2443,casual
50,659,member
51,2380,casual
51,634,member
52,2330,casual
52,613,member
53,2237,casual
53,468,member
54,2279,casual
54,489,member
55,2154,casual
55,446,member
56,2102,casual
56,433,member
57,2071,casual
57,363,member
58,2007,casual
58,357,member
59,1983,casual
59,307,member
