2,Monday,member,97317
2,Monday,casual,54783
3,Tuesday,member,103995
3,Tuesday,casual,54544
4,Wednesday,casual,55868
4,Wednesday,member,108717
5,Thursday,casual,58838
5,Thursday,member,108316
6,Friday,casual,76234
6,Friday,member,112235
7,Saturday,member,115344
7,Saturday,casual,119085
1,Sunday,casual,94756
1,Sunday,member,96142
